CustomerID,Recency,Monetary,Frequency
12346,325,0.00,2
12347,2,4310.00,7
12348,75,1797.24,4
12349,18,1757.55,1
12350,310,334.40,1
12352,36,1545.41,11
12353,204,89.00,1
12354,232,1079.40,1
12355,214,459.40,1
12356,22,2811.43,3
12357,33,6207.67,1
12358,1,1168.06,2
12359,7,6245.53,6
12360,52,2662.06,3
12361,287,189.90,1
12362,3,5154.58,13
12363,109,552.00,2
12364,7,1313.10,4
12365,291,320.69,3
12367,4,168.90,1
12370,51,3545.69,4
12371,44,1887.96,2
12372,71,1298.04,3
12373,311,364.60,1
12374,25,742.93,1
12375,2,455.42,3
12377,315,1628.12,2
12378,129,4008.62,1
12379,81,850.29,3
12380,21,2720.56,5
12381,4,1803.96,6
12383,184,1839.31,6
12384,28,566.16,3
12386,337,401.90,2
12388,15,2780.66,6
12390,79,549.84,1
12391,21,460.89,1
12393,72,1582.60,4
12394,63,1272.48,2
12395,15,2998.28,15
12397,35,2409.90,2
12398,45,1635.66,1
12399,119,1108.65,4
12401,303,84.30,1
12402,323,225.60,1
12403,49,409.70,2
12405,148,1710.39,1
12406,22,3280.75,3
12407,49,1708.12,5
12408,32,2842.57,9
12409,78,11056.93,7
12410,301,681.08,3
12412,74,1226.88,3
12413,66,694.15,5
12414,217,562.41,3
12415,24,123725.45,26
12417,3,3578.80,12
12418,112,668.58,1
12420,63,600.39,1
12421,15,806.27,5
12422,95,803.56,3
12423,0,1849.11,9
12424,162,1760.96,2
12425,78,777.20,1
12426,194,582.73,1
12427,11,708.37,5
12428,25,7877.20,12
12429,9,3750.40,4
12430,43,256.40,1
12431,35,6416.39,18
12432,42,5059.32,5
12433,0,13375.87,7
12434,84,765.19,4
12435,79,7829.89,2
12436,99,509.01,1
12437,1,4896.66,19
12438,14,2906.85,2
12441,366,173.55,1
12442,3,172.06,1
12444,21,5005.46,5
12445,22,133.40,1
12446,57,1002.31,1
12447,243,476.49,1
12448,44,449.45,1
12449,22,4067.29,4
12450,156,197.88,2
12451,10,8933.52,6
12452,16,428.57,3
12453,134,707.09,1
12454,53,0.00,2
12455,73,2466.86,6
12456,44,3153.89,4
12457,58,1917.78,12
12458,71,947.40,2
12461,94,826.88,2
12462,2,1124.01,4
12463,46,1303.63,7
12464,10,1212.05,8
12465,7,733.89,3
12468,143,724.04,3
12471,2,18740.92,49
12472,30,6229.48,13
12473,29,2848.23,9
12474,17,7116.47,30
12475,53,723.38,1
12476,1,6546.58,20
12477,22,13117.01,9
12478,3,680.99,1
12479,3,477.30,3
12480,28,3281.63,4
12481,22,5590.86,11
12483,17,2327.13,13
12484,32,4495.27,8
12488,9,1298.66,3
12489,336,334.93,1
12490,5,5417.93,10
12491,38,460.40,1
12492,63,263.21,2
12493,165,416.79,3
12494,9,1139.35,13
12497,81,1043.10,1
12498,21,403.70,3
12500,23,4206.27,13
12501,315,2089.68,2
12502,95,3723.87,5
12503,337,-1126.00,1
12504,18,114.00,4
12505,301,-4.50,1
12506,232,73.50,1
12507,134,1258.06,4
12508,26,398.27,2
12509,284,176.50,1
12510,142,982.57,2
12512,66,138.03,2
12513,84,586.79,2
12514,267,1017.68,1
12515,353,383.70,1
12516,77,1312.06,2
12517,28,2464.89,6
12518,0,2056.89,5
12519,63,340.84,1
12520,79,2582.51,6
12521,142,599.68,1
12522,39,192.72,2
12523,1,1745.57,13
12524,9,4485.72,8
12526,0,1316.66,3
12527,81,348.71,3
12528,9,1922.28,8
12530,59,1623.63,5
12531,14,125.22,1
12532,30,349.83,1
12534,130,1089.18,1
12535,91,716.35,2
12536,7,4106.82,5
12538,29,363.95,1
12539,22,3852.50,5
12540,19,13309.04,19
12541,29,981.18,3
12544,29,355.70,2
12545,75,1000.39,2
12546,46,1141.50,3
12547,197,207.80,2
12548,166,95.20,1
12550,79,964.83,1
12551,357,168.00,1
12552,38,437.82,2
12553,8,3652.25,14
12556,50,603.71,2
12557,16,11990.96,5
12558,1,0.00,2
